Epoch: 35, Train Loss: 31.8528, Val Loss: 27.6998, In domain: six-strings.de, Out domain: six-x-rgngs.de, In domain validation: storepick.kr, Out domain validation: ororipeck.kr
Epoch: 36, Train Loss: 31.7124, Val Loss: 27.4958, In domain: avenue114.com, Out domain: avene44e4.com, In domain validation: fitmomdailymag.com, Out domain validation: fitmomiacaygag.com
Epoch: 37, Train Loss: 31.5568, Val Loss: 27.5686, In domain: planetmobile.net, Out domain: alaleoetlibi.net, In domain validation: laminatschneider.info, Out domain validation: lalilststenended.iofo
Epoch: 38, Train Loss: 31.7464, Val Loss: 27.5174, In domain: topdom.info, Out domain: totmdd.iofo, In domain validation: stolicaprava.ru, Out domain validation: otoliliapapa.ru
Epoch: 39, Train Loss: 31.8198, Val Loss: 27.6564, In domain: nyme.hu, Out domain: oyoe.hu, In domain validation: chinesetolearn.com, Out domain validation: ahenenelelrara.com
Epoch: 40, Train Loss: 31.6275, Val Loss: 27.5881, In domain: superbuytires.com, Out domain: sepupyubuises.com, In domain validation: impactacross.com, Out domain validation: iapabtatmooo.com
Epoch: 41, Train Loss: 31.6389, Val Loss: 27.5786, In domain: koha.org, Out domain: iaia.org, In domain validation: certificationkits.com, Out domain validation: aeitidadatntitits.com
Epoch: 42, Train Loss: 31.5376, Val Loss: 27.5531, In domain: naughtygirlhorny.com, Out domain: gugytytlrlrnyny.com, In domain validation: uncm08.com, Out domain validation: uncmc8.com
Epoch: 43, Train Loss: 31.6643, Val Loss: 27.4984, In domain: projecthotmess.com, Out domain: rrmjejototmems.com, In domain validation: celoxis.com, Out domain validation: aelixis.com
Epoch: 44, Train Loss: 31.7421, Val Loss: 27.5380, In domain: jitusaja.com, Out domain: aijisasa.com, In domain validation: mestogames.com, Out domain validation: mesgotcmes.com
Epoch: 45, Train Loss: 31.6367, Val Loss: 27.4948, In domain: gptkk.org, Out domain: gptpt.org, In domain validation: chwld.ir, Out domain validation: ahwld.ir
Epoch: 46, Train Loss: 31.4969, Val Loss: 27.4325, In domain: kpoprepublic.com, Out domain: kpoppupuicic.com, In domain validation: 92caouu.com, Out domain validation: 2c29aoao.com
